37.8, -2.0, 7.68, -0.24, -0.04, 1.01
41.59, -1.95, 8.16, -0.24, -0.01, 1.02
44.05, -2.12, 8.06, -0.24, 0.01, 1.02
45.96, -1.87, 8.13, -0.23, 0.03, 1.01
45.93, -1.19, 8.1, -0.23, 0.06, 1.01
45.02, -0.98, 7.63, -0.23, 0.09, 1.0
42.19, -0.74, 6.88, -0.23, 0.13, 1.0
37.74, -0.69, 6.28, -0.22, 0.15, 0.99
30.1, -0.97, 5.54, -0.22, 0.17, 0.99
23.19, -0.49, 5.46, -0.23, 0.17, 1.0
18.96, -0.3, 4.74, -0.23, 0.17, 1.0
15.77, -0.67, 3.99, -0.23, 0.17, 1.0
12.91, 0.02, 3.13, -0.23, 0.17, 1.01
10.24, 0.05, 2.1, -0.22, 0.17, 1.01
7.73, -0.02, 1.66, -0.22, 0.17, 1.01
5.59, 0.5, 0.86, -0.22, 0.17, 1.01
2.36, 0.51, 0.0, -0.22, 0.19, 1.0
-1.43, 0.83, -0.71, -0.22, 0.18, 1.0
-5.55, 1.0, -1.0, -0.22, 0.19, 1.0
-9.4, 1.57, -1.25, -0.22, 0.19, 0.99
-13.09, 1.37, -1.95, -0.22, 0.18, 1.0
-16.48, 1.4, -2.01, -0.22, 0.16, 1.01
-19.51, 1.92, -1.93, -0.22, 0.15, 1.0
-19.93, 1.78, -2.28, -0.22, 0.12, 1.01
-19.72, 2.14, -2.66, -0.23, 0.1, 1.01
-18.21, 2.06, -2.32, -0.23, 0.09, 1.01
-17.05, 1.78, -2.81, -0.23, 0.08, 1.01
-14.64, 1.71, -2.15, -0.23, 0.07, 1.01
-11.92, 1.44, -1.43, -0.23, 0.05, 1.01
-8.33, 1.28, -0.33, -0.23, 0.05, 1.0
-4.99, 1.42, -0.25, -0.23, 0.04, 1.01
-1.68, 1.26, 0.52, -0.23, 0.05, 1.0
1.94, 1.05, 0.68, -0.23, 0.05, 1.01
5.24, 0.55, 1.06, -0.23, 0.06, 1.01
7.73, 0.51, 1.54, -0.23, 0.07, 1.01
9.82, 0.45, 1.4, -0.23, 0.08, 1.01
9.83, 0.61, 1.87, -0.23, 0.1, 1.0
9.25, 0.44, 2.07, -0.23, 0.11, 1.01
8.5, 0.68, 1.91, -0.22, 0.12, 1.0
7.11, 0.52, 1.68, -0.22, 0.13, 1.01
5.25, 0.87, 1.14, -0.22, 0.13, 1.0
2.45, 0.94, 1.25, -0.23, 0.13, 1.0
1.23, 0.9, 1.33, -0.23, 0.13, 1.0
-0.27, 0.82, 1.03, -0.23, 0.13, 1.01
-1.05, 0.96, 0.77, -0.23, 0.11, 1.0
-1.06, 0.58, 0.9, -0.23, 0.11, 1.01
-0.33, 0.7, 0.7, -0.23, 0.1, 1.01
0.78, 0.85, 0.88, -0.23, 0.1, 1.01
1.39, 0.87, 1.28, -0.23, 0.1, 1.01
2.83, 0.85, 1.34, -0.23, 0.09, 1.01
3.87, 0.93, 1.6, -0.23, 0.09, 1.0
5.97, 0.67, 1.87, -0.23, 0.1, 1.0
6.87, 0.26, 1.7, -0.23, 0.11, 1.01
7.51, 0.42, 1.62, -0.23, 0.11, 1.01
7.96, 0.62, 2.06, -0.23, 0.11, 1.01
8.56, 0.48, 2.35, -0.23, 0.12, 1.0
9.06, 0.73, 2.34, -0.23, 0.13, 1.01
9.8, 0.27, 1.61, -0.23, 0.14, 1.0
9.35, 0.1, 2.19, -0.23, 0.13, 1.0
9.03, 0.43, 2.15, -0.23, 0.13, 1.0
8.16, 0.32, 2.45, -0.22, 0.14, 1.0
7.81, 0.35, 2.25, -0.22, 0.15, 1.0
6.87, 0.14, 1.94, -0.22, 0.16, 1.0
5.76, 0.51, 1.61, -0.22, 0.16, 1.0
4.27, 0.43, 1.94, -0.22, 0.16, 1.01
4.01, 0.87, 1.89, -0.22, 0.16, 1.01
4.06, 0.8, 1.42, -0.23, 0.15, 1.01
4.42, 0.58, 1.93, -0.23, 0.14, 1.0
4.9, 0.48, 1.82, -0.23, 0.15, 0.99
5.92, 0.16, 1.84, -0.23, 0.15, 1.0
7.52, 0.19, 1.39, -0.22, 0.16, 1.0
7.24, 0.53, 1.15, -0.23, 0.17, 1.0
7.05, 0.4, 0.79, -0.22, 0.18, 1.01
4.16, 0.9, 0.65, -0.22, 0.19, 1.0
1.8, 0.48, 0.7, -0.23, 0.19, 1.0
0.11, 0.66, -0.22, -0.22, 0.25, 0.98
0.13, 0.48, -0.48, -0.25, 0.18, 0.99
-2.96, 0.02, -1.67, -0.21, 0.23, 1.0
-8.49, -0.42, -3.36, -0.21, 0.23, 1.01
-12.17, 0.73, -5.84, -0.22, 0.25, 1.0
-17.65, 1.71, -7.0, -0.21, 0.25, 1.0
-28.19, 2.15, -7.35, -0.21, 0.24, 1.0
-39.96, 3.38, -5.38, -0.22, 0.14, 0.98
-41.66, 2.27, -2.69, -0.24, 0.08, 0.99
-39.43, 1.76, -0.95, -0.23, 0.02, 1.0
-27.79, 0.29, 0.47, -0.23, -0.01, 1.0
-16.13, -0.96, 0.76, -0.23, -0.05, 1.01
-3.07, -1.58, 1.74, -0.24, -0.05, 1.02
8.16, -1.25, 2.12, -0.23, -0.02, 1.03
18.65, -1.62, 4.21, -0.23, 0.01, 1.02
26.25, -1.54, 5.9, -0.23, 0.04, 1.02
30.91, -1.63, 7.51, -0.22, 0.06, 1.01
